Player Name,X Location,Y Location,Shot Made Flag
Jamal Murray,120,221,0
Jamal Murray,9,16,0
Jamal Murray,111,108,1
Jamal Murray,110,234,1
Jamal Murray,-233,72,0
Jamal Murray,-3,200,0
Jamal Murray,-13,85,0
Jamal Murray,-6,18,1
Jamal Murray,-152,21,1
Jamal Murray,-133,222,0
Jamal Murray,-93,258,0
Jamal Murray,145,212,1
Jamal Murray,-131,113,0
Jamal Murray,-123,17,1
Jamal Murray,-111,225,1
Jamal Murray,-171,180,0
Jamal Murray,144,324,1
Jamal Murray,-43,155,1
Jamal Murray,-172,204,0
Jamal Murray,-9,0,1
Jamal Murray,22,184,1
Jamal Murray,-215,157,0
Jamal Murray,0,-6,1
Jamal Murray,-215,169,0
Jamal Murray,32,75,0
Jamal Murray,-85,265,1
Jamal Murray,-25,88,0
Jamal Murray,-114,7,0
Jamal Murray,-22,109,0
Jamal Murray,24,119,1
Jamal Murray,101,168,0
Jamal Murray,-152,192,1
Jamal Murray,92,241,1
Jamal Murray,147,25,1
Jamal Murray,190,161,0
Jamal Murray,-96,167,0
Jamal Murray,37,20,0
Jamal Murray,-19,1,1
Jamal Murray,-71,121,1
Jamal Murray,-111,128,1
Jamal Murray,-114,58,1
Jamal Murray,-138,207,0
Jamal Murray,-165,193,1
Jamal Murray,11,167,0
Jamal Murray,144,207,0
Jamal Murray,141,203,1
Jamal Murray,225,90,0
Jamal Murray,71,241,0
Jamal Murray,120,140,0
Jamal Murray,7,3,1
Jamal Murray,-135,214,0
Jamal Murray,79,256,0
Jamal Murray,-10,72,1
Jamal Murray,14,12,0
Jamal Murray,136,7,0
Jamal Murray,73,157,1
Jamal Murray,74,8,1
Jamal Murray,4,163,1
Jamal Murray,26,184,1
Jamal Murray,-223,111,1
Jamal Murray,9,7,0
Jamal Murray,-8,252,0
Jamal Murray,98,227,1
Jamal Murray,-92,159,1
Jamal Murray,8,256,0
Jamal Murray,-185,176,0
Jamal Murray,-155,230,0
